Name,Store,Price,Date,Tag
Cafe bustelo,Target,8.49,2026-05-11,Groceries
Cascade,Target,5.99,2026-05-11,Groceries
Groceries,Meijer,130.27,2026-04-25,Groceries
Smoothie,Tous les Jours,6.89,2026-05-09,Dining
